City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Hotel Name
204,204,Alofi,NU,-19.06,-169.92,78.8,83,75,4.7,broken clouds,0.0,0,Taloa Heights
210,210,Vilhena,BR,-12.74,-60.15,73.47,55,19,1.97,few clouds,0.0,0,Hotel Mirage
212,212,Meulaboh,ID,4.14,96.13,75.63,80,99,4.16,overcast clouds,0.0,0,Kost Pria
213,213,Koungou,YT,-12.73,45.2,78.8,69,90,18.34,overcast clouds,0.0,0,Villa Netibor
214,214,Dicabisagan,PH,17.08,122.42,82.56,74,50,5.5,scattered clouds,0.0,0,
215,215,Kathu,TH,7.92,98.33,84.0,94,40,2.24,scattered clouds,0.0,0,Sunset Beach Resort
217,217,Boundiali,CI,9.52,-6.49,71.96,95,85,4.59,light rain,0.0,0,Hotel Paysan Boundiali
228,228,Siderno,IT,38.28,16.3,77.0,88,5,6.24,clear sky,0.0,0,Grand Hotel President
231,231,Lindi,TZ,-10.0,39.72,73.4,94,40,9.17,scattered clouds,0.0,0,Lindi paradise house
232,232,Salalah,OM,17.02,54.09,82.4,88,75,3.36,broken clouds,0.0,0,HAMDAN PLAZA HOTEL
233,233,Touros,BR,-5.2,-35.46,77.0,88,40,3.36,scattered clouds,0.0,0,INN NEW HORIZON
234,234,Enumclaw,US,47.2,-121.99,73.0,64,61,3.0,light rain,0.0,0,Cedars Inn
237,237,Hithadhoo,MV,-0.6,73.08,84.36,72,81,7.0,broken clouds,0.0,0,Scoop Guest House
238,238,Butaritari,KI,3.07,172.79,83.53,77,2,14.7,light rain,0.0,0,Isles Sunset Lodge
243,243,Port Said,EG,31.26,32.28,78.8,83,1,3.36,clear sky,0.0,0,Aracan Hotel
244,244,Hilton Head Island,US,32.22,-80.75,87.01,79,75,10.29,broken clouds,0.0,0,Hampton Inn Hilton Head
245,245,Nabire,ID,-3.37,135.48,79.83,76,38,2.62,scattered clouds,0.0,0,Hotel Nusantara Nabire
248,248,Fuling,CN,29.7,107.39,78.08,85,100,1.3,overcast clouds,0.0,0,Yingbin Hostel
249,249,Puerto Del Rosario,ES,28.5,-13.86,71.6,78,20,18.34,few clouds,0.0,0,Hotel JM Puerto del Rosario
254,254,Phalodi,IN,27.13,72.37,87.62,62,12,20.78,few clouds,0.0,0,Hotel Fort View
255,255,Tokonou,GN,9.65,-9.78,70.03,96,100,8.66,overcast clouds,0.0,0,
256,256,Beni Suef,EG,29.07,31.1,78.01,68,0,9.64,clear sky,0.0,0,Tolip Inn Beni Suef
257,257,Goderich,CA,43.75,-81.72,84.99,83,55,11.01,light rain,0.0,0,Harmony Inn
260,260,Iaciara,BR,-14.1,-46.63,72.61,36,0,6.76,clear sky,0.0,0,Hotel Matinha
261,261,Qianan,CN,44.99,124.06,75.06,52,0,5.86,clear sky,0.0,0,Qian'an Hotel
262,262,Tikapur,NP,28.5,81.13,81.01,86,100,3.22,light rain,0.0,0,BANANA AGRO RESORT
264,264,Hun,LY,29.13,15.95,77.32,62,0,6.58,clear sky,0.0,0,Alrwasi Hotel
268,268,Kannod,IN,22.67,76.73,79.38,81,69,10.4,light rain,0.0,0,MANGAL CITY
270,270,Poum,NC,-20.23,164.02,70.72,74,34,13.96,scattered clouds,0.0,0,Gîte kajeon
275,275,Bambous Virieux,MU,-20.34,57.76,71.6,78,75,18.34,shower rain,0.0,0,Casa Tia Villa
288,288,Omboue,GA,-1.57,9.26,73.78,83,100,8.28,overcast clouds,0.0,0,Hotel Olako
289,289,Padang,ID,-0.95,100.35,77.2,76,98,4.41,overcast clouds,0.0,0,Mercure Padang
