City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
275,Bambous Virieux,MU,-20.34,57.76,71.6,78,75,18.34,shower rain,0.0,0
276,Sitka,US,57.05,-135.33,55.4,93,90,4.7,moderate rain,0.0,0
277,Narsaq,GL,60.92,-46.05,50.0,81,99,5.82,drizzle,2.79,0
278,Saskylakh,RU,71.92,114.08,52.48,65,40,10.4,scattered clouds,0.0,0
279,Roald,NO,62.58,6.13,53.6,76,75,5.82,light rain,0.0,0
280,Aguie,NE,13.51,7.78,91.08,39,30,14.45,scattered clouds,0.13,0
281,Emirdag,TR,39.02,31.15,63.75,73,0,4.29,clear sky,0.0,0
282,Smithers,CA,54.78,-127.17,66.2,48,75,3.36,broken clouds,0.0,0
283,Muros,ES,42.78,-9.06,66.0,80,26,5.99,scattered clouds,0.0,0
284,Haldensleben,DE,52.29,11.41,64.0,10,99,4.29,overcast clouds,0.0,0
285,Aasiaat,GL,68.71,-52.87,40.89,98,100,10.85,moderate rain,0.0,0
286,Cayenne,GF,4.93,-52.33,77.0,100,75,2.24,broken clouds,1.78,0
287,Fortuna,US,40.6,-124.16,69.01,72,20,16.11,few clouds,0.0,0
288,Omboue,GA,-1.57,9.26,73.78,83,100,8.28,overcast clouds,0.0,0
289,Padang,ID,-0.95,100.35,77.2,76,98,4.41,overcast clouds,0.0,0
290,Bolgatanga,GH,10.79,-0.85,78.66,80,34,8.34,light rain,0.0,0
291,Sioux Lookout,CA,50.1,-91.92,77.0,53,75,14.99,broken clouds,0.34,0
292,Kieta,PG,-6.22,155.63,83.03,74,100,7.74,moderate rain,0.0,0
293,Ahipara,NZ,-35.17,173.17,55.6,72,71,4.97,light rain,1.67,0
294,Itoman,JP,26.12,127.67,86.0,89,75,13.87,broken clouds,0.0,0
295,Ndende,GA,-2.4,11.36,73.02,85,100,3.22,overcast clouds,0.0,0
296,Saint-Francois,FR,46.42,3.91,69.01,72,3,3.36,clear sky,0.0,0
297,Belawan,ID,3.78,98.68,78.8,88,40,5.82,scattered clouds,0.0,0
298,Cockburn Town,TC,21.46,-71.14,83.32,80,100,19.73,overcast clouds,0.0,0
299,Te Anau,NZ,-45.42,167.72,41.0,85,87,0.78,overcast clouds,0.0,0
