City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Ko Samui,TH,2020-07-08 15:19:26,9.54,99.94,84.2,79,20,2.91
143,Camacha,PT,2020-07-08 15:23:46,33.08,-16.33,73.4,64,40,16.11
144,Lamu,KE,2020-07-08 15:23:46,-2.27,40.9,80.6,78,1,9.17
145,Olafsvik,IS,2020-07-08 15:23:46,64.89,-23.71,48.54,73,21,15.08
146,Santiago De Cao,PE,2020-07-08 15:23:47,-7.96,-79.24,64.81,77,85,11.86
147,Basti,IN,2020-07-08 15:23:47,26.8,82.72,89.15,68,26,2.15
148,Hambantota,LK,2020-07-08 15:23:47,6.12,81.12,77.0,100,40,2.24
149,Kavieng,PG,2020-07-08 15:23:47,-2.57,150.8,82.15,79,98,13.33
150,Manzanillo,CU,2020-07-08 15:23:47,20.34,-77.12,86.49,67,0,7.85
151,Bathsheba,BB,2020-07-08 15:23:47,13.22,-59.52,87.8,62,40,23.04
152,Vila,PT,2020-07-08 15:23:47,42.03,-8.16,88.0,51,0,8.99
153,Chitrakonda,IN,2020-07-08 15:23:48,18.12,82.08,78.6,87,99,2.68
154,Tougue,GN,2020-07-08 15:23:48,11.47,-11.6,84.02,61,76,7.02
155,Rudovci,RS,2020-07-08 15:23:48,44.38,20.41,78.8,36,0,4.7
156,Mahibadhoo,MV,2020-07-08 15:21:05,3.78,72.97,84.42,67,13,2.39
157,Carnarvon,AU,2020-07-08 15:23:48,-24.87,113.63,60.8,87,0,12.75
158,Padang,ID,2020-07-08 15:23:48,-0.95,100.35,76.62,80,100,1.79
159,Arraial Do Cabo,BR,2020-07-08 15:23:48,-22.97,-42.03,84.2,48,97,17.22
160,Shipitsyno,RU,2020-07-08 15:23:49,61.28,46.52,90.1,46,3,8.88
161,Hofn,IS,2020-07-08 15:23:49,64.25,-15.21,57.2,62,20,9.17
162,Mazamari,PE,2020-07-08 15:23:49,-11.33,-74.53,79.77,60,93,1.81
163,Biltine,TD,2020-07-08 15:23:49,14.53,20.92,101.25,18,2,6.91
164,Ust-Ishim,RU,2020-07-08 15:23:49,57.69,71.17,76.32,68,0,4.29
165,Saint-Joseph,RE,2020-07-08 15:23:49,-21.37,55.62,71.6,73,1,17.22
166,Gat,IL,2020-07-08 15:23:49,31.61,34.76,86.0,59,0,4.0
167,Mafra,BR,2020-07-08 15:23:50,-26.11,-49.81,60.44,93,93,5.95
168,Peniche,PT,2020-07-08 15:23:50,39.36,-9.38,72.0,78,52,10.0
